cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Roaring Ocean Snake",2,"Common",M,1st Edition,"Metal Raiders",MRD-020,19066538 
"Robbin' Goblin",3,"Rare",M,Unlimited,"Metal Raiders",MRD-135,88279736 
"Robbin' Zombie",2,"Rare",M,Unlimited,"Invasion of Chaos",IOC-109,83258273 
"Robolady",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-054,92421852 
"Robotic Knight",7,"Common",M,Unlimited,"Legacy of Darkness",LOD-051,44203504 
"Roboyarou",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-055,38916461 
"Roc from the Valley of Haze",9,"Common",M,Unlimited,"Rise of Destiny",RDS-EN015,28143906 
"Rock Bombardment",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN055,20781762 
"Rock Ogre Grotto #1",2,"Common",M,Unlimited,"Metal Raiders",MRD-004,68846917 
"Rocket Jumper",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-015,53890795 
"Rod of Silence - Kay'est",4,"Common",M,Unlimited,"Dark Crisis",DCR-036,95515060 
"Rod of the Mind's Eye",5,"Common",M,Unlimited,"Dark Crisis",DCR-039,94793422 
"Roll Out!",8,"Common",M,Unlimited,"Elemental Energy",EEN-EN056,91597389 
"Root Water",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-032,39004808 
"Rope of Life",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN054,93382620 
"Rose, Warrior of Revenge",1,"Ultimate Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN000,1557341 
"Roulette Barrel",4,"Common",M,Unlimited,"Magician's Force",MFC-025,46303688 
"Royal Command",5,"Ultra Rare",M,Unlimited,"Labyrinth of Nightmare",LON-080,33950246 
"Royal Keeper",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-018,16509093 
"Royal Knight",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN017,68280530 
"Royal Magical Library",9,"Common",M,Unlimited,"Magician's Force",MFC-074,70791313 
"Royal Oppression",5,"Rare",M,Unlimited,"Legacy of Darkness",LOD-091,93016201 
"Royal Surrender",2,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN059,56058888 
"Royal Tribute",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-091,72405967 
"Royal Writ of Taxation",5,"Common",M,Unlimited,"Power of the Duelist",POTD-EN054,86742443 
"Ruin, Queen of Oblivion",1,"Super Rare",M,Unlimited,"Shadow of Infinity",SOI-EN034,46427957 
"Rush Recklessly",3,"Rare",M,Unlimited,"Magic Ruler",MRL-043,70046172 
"Ryko, Lightsworn Hunter",1,"Super Rare",M,Unlimited,"Light of Destruction",LODT-EN022,21502796 
"Ryu Senshi",1,"Super Rare",M,Unlimited,"Legacy of Darkness",LOD-019,49868263 
"Ryu-Kishin Clown",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-007,42647539 
"Ryu-Kishin Powered",8,"Common",M,Unlimited,"Metal Raiders",MRD-092,24611934 
"Ryu-Ran",3,"Common",M,Unlimited,"Magic Ruler",MRL-070,2964201 
"Saber Beetle",5,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN023,49645921 
"Sabersaurus",5,"Common",M,1st Edition,"Power of the Duelist",POTD-EN002,37265642 
"Sacred Crane",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-069,30914564 
"Sage of Silence",1,"Rare",M,Unlimited,"Strike of Neos",STON-EN015,26669055 
"Sage of Stillness",1,"Common",M,Unlimited,"Strike of Neos",STON-EN016,62054060 
"Sakuretsu Armor",5,"Common",M,Unlimited,"Dark Crisis",DCR-102,56120475 
"Salvage",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-096,96947648 
"Samsara",13,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN048,44182827 
"Samsara Lotus",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN004,5592689 
"Sand Gambler",2,"Common",M,Unlimited,"Ancient Sanctuary",AST-069,50593156 
"Sand Moth",5,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN032,73648243 
"Sand Stone",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-109,73051941 
"Sanga of the Thunder",9,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN157,25955164 
"Sangan",8,"Rare",M,Unlimited,"Metal Raiders",MRD-069,26202165 
"Sanguine Swamp",6,"Common",M,Unlimited,"Light of Destruction",LODT-EN077,60627999 
"Sanwitch",10,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN036,53539634 
"Sasuke Samurai #2",6,"Common",M,Unlimited,"Dark Crisis",DCR-059,11760174 
"Sasuke Samurai #3",1,"Rare",M,Unlimited,"Invasion of Chaos",IOC-011,77379481 
"Scarr, Scout of Dark World",6,"Common",M,Unlimited,"Elemental Energy",EEN-EN025,5498296 
"Science Soldier",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-097,67532912 
"Scroll of Bewitchment",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-048,10352095 
"Sea Koala",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN037,87685879 
"Sea Serpent Warrior of Darkness",8,"Common",M,Unlimited,"Invasion of Chaos",IOC-059,42071342 
"Sealmaster Meisei",1,"Rare",M,Unlimited,"Ancient Sanctuary",AST-003,2468169 
"Searchlightman",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN010,67646312 
"Second Coin Toss",3,"Rare",M,Unlimited,"Legacy of Darkness",LOD-083,36562627 
"Second Goblin",7,"Common",M,Unlimited,"Magician's Force",MFC-013,19086954 
"Secret Barrel",5,"Common",M,Unlimited,"Magician's Force",MFC-046,27053506 
"Secret Pass to the Treasures",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-037,77876207 
"Secrets of the Gallant",2,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN054,95096437 
"Security Orb",3,"Ultra Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN089,26533075 
"Seed of Deception",2,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN046,18752938 
"Seismic Crasher",6,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN027,114932 
"Self-Destruct Button",7,"Common",M,Unlimited,"Invasion of Chaos",IOC-105,57585212 
"Senet Switch",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN048,63394872 
"Senju of the Thousand Hands",12,"Rare",M,Unlimited,"Magic Ruler",MRL-080,23401839 
"Senri Eye",1,"Common",M,Unlimited,"Magician's Force",MFC-089,60391791 
"Serial Spell",2,"Rare",M,1st Edition,"Rise of Destiny",RDS-EN037,49398568 
"Serpentine Princess",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-057,71829750 
"Servant of Catabolism",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-012,2792265 
"Seven Tools of the Bandit",13,"Ultra Rare",M,Unlimited,"Metal Raiders",MRD-129,3819470 
"Shadow Delver",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN027,57827484 
"Shadow Ghoul",3,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN055,30778711 
"Shadow of Eyes",7,"Common",M,Unlimited,"Pharaoh's Servant",PSV-075,58621589 
"Shadow Tamer",4,"Rare",M,Unlimited,"Legacy of Darkness",LOD-025,37620434 
"Shadow-Imprisoning Mirror",8,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN070,99735427 
"Shadowknight Archfiend",5,"Common",M,Unlimited,"Dark Crisis",DCR-068,9603356 
"Shadowslayer",3,"Rare",M,1st Edition,"Flaming Eternity",FET-EN024,20939559 
"Shapesnatch",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-002,4035199 
"Share the Pain",6,"Common",M,Unlimited,"Metal Raiders",MRD-140,56830749 
"Shattered Axe",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN059,12117532 
"Shield & Sword",4,"Rare",M,Unlimited,"Metal Raiders",MRD-131,52097679 
"Shield Spear",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN074,3244563 
"Shien's Castle of Mist",4,"Common",M,1st Edition,"Strike of Neos",STON-EN047,11102908 
"Shien's Footsoldier",4,"Common",M,Unlimited,"Strike of Neos",STON-EN014,99675356 
"Shien's Spy",11,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN044,7672244 
"Shift",3,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-067,59560625 
"Shifting Shadows",12,"Common",M,Unlimited,"The Lost Millennium",TLM-EN047,59237154 
"Shinato, King of a Higher Plane",1,"Ultra Rare",M,Unlimited,"Dark Crisis",DCR-016,86327225 
"Shining Abyss",7,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-009,87303357 
"Shining Angel",14,"Rare",M,Unlimited,"Magic Ruler",MRL-088,95956346 
"Shining Friendship",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN089,82085619 
"Shooting Star Bow - Ceal",3,"Common",M,Unlimited,"Dark Crisis",DCR-033,95638658 
"Short Circuit",2,"Common",M,Unlimited,"Light of Destruction",LODT-EN056,75967082 
"Silent Abyss",4,"Common",M,Unlimited,"Strike of Neos",STON-EN025,86442081 
"Silent Insect",6,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN020,40867519 
"Silent Strider",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN036,18235577 
"Silent Swordsman LV3",1,"Ultra Rare",M,Unlimited,"Rise of Destiny",RDS-EN009,1995985 
"Silent Swordsman LV5",1,"Ultra Rare",M,1st Edition,"Flaming Eternity",FET-EN008,74388798 
"Sillva, Warlord of Dark World",7,"Rare",M,Unlimited,"Elemental Energy",EEN-EN023,32619583 
"Silpheed",1,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN022,73001017 
"Silver Bow and Arrow",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-091,1557499 
"Silver Fang",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN106,90357090 
"Simorgh, Bird of Ancestry",2,"Rare",M,Unlimited,"Light of Destruction",LODT-EN039,86489182 
"Simultaneous Loss",6,"Common",M,Unlimited,"Elemental Energy",EEN-EN053,92219931 
"Sinister Seeds",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN065,60406591 
"Sinister Sprocket",1,"Super Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN009,61632317 
"Six Samurai United",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN059,72345736 
"Skill Drain",7,"Rare",M,Unlimited,"Dark Crisis",DCR-049,82732705 
"Skilled Dark Magician",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN120,73752131 
"Skilled White Magician",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN119,46363422 
"Skull Dog Marron",14,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN003,86652646 
"Skull Invitation",4,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-056,98139712 
"Skull Knight",2,"Common",M,Unlimited,"Metal Raiders",MRD-123,2504891 
"Skull Knight #2",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-006,15653824 
"Skull Lair",2,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-082,6733059 
"Skull Mariner",1,"Common",M,Unlimited,"Pharaoh's Servant",PSV-092,5265750 
"Skull Red Bird",1,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-105,10202894 
"Skull Servant",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-004,32274490 
"Skull-Mark Ladybug",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-079,64306248 
"Sky Scourge Enrise",1,"Super Rare",M,Unlimited,"Force of the Breaker",FOTB-EN021,11458071 
"Sky Scout",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-049,30532390 
"Skyscraper",1,"Rare",M,Unlimited,"Duelist Pack 1: Jaden Yuki",DP1-EN021,63035430 
"Slot Machine",3,"Common",M,1st Edition,"Magic Ruler",MRL-028,3797883 
"Small Piece Golem",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN006,22754505 
"Smashing Ground",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-093,97169186 
"Smoke Grenade of the Thief",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN189,63789924 
"Snake Deity's Command",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN068,80678380 
"Snake Fang",2,"Common",M,Unlimited,"Magic Ruler",MRL-050,596051 
"Snake Rain",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN052,17189677 
"Snake Whistle",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN066,81791932 
"Snatch Steal",1,"Ultra Rare",M,Unlimited,"Dark Beginning 1",DB1-EN021,45986603 
"Snipe Hunter",3,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN015,84290642 
"Sogen",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-049,86318356 
"Soitsu",14,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN002,60246171 
"Solar Flare Dragon",8,"Common",M,Unlimited,"Ancient Sanctuary",AST-032,45985838 
"Solar Ray",7,"Common",M,Unlimited,"Ancient Sanctuary",AST-051,44472639 
"Solemn Judgment",3,"Ultra Rare",M,Unlimited,"Metal Raiders",MRD-127,41420027 
"Solemn Wishes",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-055,35346968 
"Solomon's Lawbook",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-013,23471572 
"Sonic Bird",17,"Common",M,Unlimited,"Magic Ruler",MRL-093,57617178 
"Sonic Duck",4,"Common",M,Unlimited,"Magician's Force",MFC-057,84696266 
"Sonic Jammer",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-021,84550200 
"Soul Absorption",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-046,68073522 
"Soul Demolition",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-014,76297408 
"Soul Devouring Bamboo Sword",2,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN060,51670553 
"Soul of Purity and Light",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-066,77527210 
"Soul of the Pure",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN086,47852924 
"Soul Release",5,"Common",M,Unlimited,"Metal Raiders",MRD-058,5758500 
"Soul Resurrection",5,"Rare",M,Unlimited,"Ancient Sanctuary",AST-109,92924317 
"Soul Reversal",4,"Common",M,1st Edition,"Ancient Sanctuary",AST-088,78864369 
"Soul Tiger",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-003,15734813 
"Soul-Absorbing Bone Tower",3,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN123,63012333 
"Souleater",2,"Common",M,1st Edition,"Pharaonic Guardian",PGD-003,31242786 
"Souls of the Forgotten",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-098,4920010 
"Space Gift",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN046,1539051 
"Space Mambo",6,"Common",M,Unlimited,"Flaming Eternity",FET-EN001,36119641 
"Spark Blaster",5,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN047,97362768 
"Sparks",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-055,76103675 
"Spatial Collapse",8,"Common",M,Unlimited,"Invasion of Chaos",IOC-051,20644748 
"Spear Cretin",3,"Common",M,1st Edition,"Magic Ruler",MRL-087,58551308 
"Special Hurricane",6,"Rare",M,Unlimited,"Ancient Sanctuary",AST-084,42598242 
"Spell Absorption",3,"Rare",M,Unlimited,"Flaming Eternity",FET-EN039,51481927 
"Spell Calling",1,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN039,41160595 
"Spell Chronicle",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN050,74402414 
"Spell Economics",3,"Rare",M,Unlimited,"Ancient Sanctuary",AST-089,4259068 
"Spell Gear",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN049,313513 
"Spell Purification",4,"Common",M,Unlimited,"Rise of Destiny",RDS-EN058,1669772 
"Spell Reclamation",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN076,76137276 
"Spell Reproduction",1,"Common",M,Unlimited,"Dark Crisis",DCR-083,29228529 
"Spell Shield Type-8",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN098,38275183 
"Spell Vanishing",2,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN263,29735721 
"Spell-Stopping Statute",1,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN058,10069180 
"Spellbinding Circle",3,"Ultra Rare",M,1st Edition,"Magic Ruler",MRL-006,18807108 
"Spellbook Organization",2,"Common",M,Unlimited,"Magician's Force",MFC-093,96677818 
"Spherous Lady",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-059,52121290 
"Spike Seadra",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-103,85326399 
"Spikebot",2,"Common",M,Unlimited,"Pharaoh's Servant",PSV-081,87511987 
"Spiral Spear Strike",4,"Rare",M,Unlimited,"Flaming Eternity",FET-EN043,49328340 
"Spirit Barrier",3,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN051,53239672 
"Spirit Caller",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-075,48659020 
"Spirit Elimination",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-102,69832741 
"Spirit Message "A"",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN024,94772232 
"Spirit Message "I"",3,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-089,31893528 
"Spirit Message "L"",5,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-092,30170981 
"Spirit Message "N"",1,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-090,67287533 
"Spirit of Flames",2,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-067,13522325 
"Spirit of the Breeze",4,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-037,53530069 
"Spirit of the Harp",1,"Rare",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-078,80770678 
"Spirit of the Pharaoh",1,"Ultra Rare",M,Unlimited,"Dark Revelation Volume 2",DR2-EN175,25343280 
"Spirit of the Pot of Greed",7,"Common",M,Unlimited,"Invasion of Chaos",IOC-009,4896788 
"Spirit of the Six Samurai",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN033,65685470 
"Spirit Reaper",3,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-076,23205979 
"Spirit Ryu",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-036,67957315 
"Spirit's Invitation",6,"Common",M,1st Edition,"Legacy of Darkness",LOD-095,92394653 
"Spiritual Earth Art - Kurogane",14,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN050,70156997 
"Spiritual Energy Settle Machine",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-082,99173029 
"Spiritual Fire Art - Kurenai",17,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN052,42945701 
"Spiritual Water Art - Aoi",11,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN051,6540606 
"Spiritual Wind Art - Miyabi",19,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN053,79333300 
"Spiritualism",1,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-094,15866454 
"Spring of Rebirth",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-076,94425169 
"St. Joan",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-045,21175632 
"Stamping Destruction",6,"Common",M,Unlimited,"Legacy of Darkness",LOD-046,81385346 
"Star Boy",2,"Rare",M,Unlimited,"Metal Raiders",MRD-109,8201910 
"Staunch Defender",6,"Common",M,Unlimited,"Dark Crisis",DCR-046,92854392 
"Stealth Bird",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-068,3510565 
"Stealthroid",1,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN015,98049038 
"Steam Gyroid",20,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN033,5368615 
"Steamroid",14,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN008,44729197 
"Steel Ogre Grotto #1",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-112,29172562 
"Steel Ogre Grotto #2",8,"Common",M,Unlimited,"Pharaoh's Servant",PSV-001,90908427 
"Steel Scorpion",7,"Common",M,Unlimited,"Metal Raiders",MRD-029,13599884 
"Stim-Pack",3,"Common",M,Unlimited,"Metal Raiders",MRD-141,83225447 
"Stone Ogre Grotto",2,"Common",M,Unlimited,"Magic Ruler",MRL-058,15023985 
"Stone Statue of the Aztecs",2,"Rare",M,Unlimited,"Dark Revelation Volume 2",DR2-EN126,31812496 
"Storming Wynn",6,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN029,29013526 
"Straight Flush",3,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN050,25173686 
"Stray Asmodian",4,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN012,86209650 
"Stray Lambs",3,"Rare",M,Unlimited,"Invasion of Chaos",IOC-092,60764581 
"Strike Slash",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN075,30643162 
"Stumbling",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-035,34646691 
"Submarineroid",2,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN008,99861526 
"Substitoad",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN028,20663556 
"Success Probability 0%",13,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN057,6859683 
"Succubus Knight",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-117,55291359 
"Suijin",3,"Super Rare",M,1st Edition,"Metal Raiders",MRD-027,98434877 
"Summon Cloud",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN049,55375684 
"Summon Limit",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN079,23516703 
"Summoned Skull",4,"Common",M,Unlimited,"Dark Legends",DLG1-EN025,70781052 
"Summoner of Illusions",8,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-063,14644902 
"Summoner's Art",3,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN057,79816536 
"Super Double Summon",5,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN053,26120084 
"Super Junior Confrontation",7,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN049,29590905 
"Super Polymerization",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN046,48130397 
"Super Rejuvenation",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-047,27770341 
"Super Robolady",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-073,75923050 
"Super Roboyarou",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-074,1412158 
"Super-Ancient Dinobeast",2,"Ultra Rare",M,1st Edition,"Light of Destruction",LODT-EN088,6849042 
"Superalloy Beast Raptinus",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN042,64463828 
"Supercharge",6,"Ultimate Rare",M,Unlimited,"Power of the Duelist",POTD-EN056,97705809 
"Supply",1,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-075,44072894 
"Susa Soldier",1,"Rare",M,Unlimited,"Legacy of Darkness",LOD-066,40473581 
"Swamp Battleguard",5,"Common",M,Unlimited,"Metal Raiders",MRD-063,40453765 
"Swarm of Locusts",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-022,41872150 
"Swarm of Scarabs",10,"Common",M,Unlimited,"Pharaonic Guardian",PGD-021,15383415 
"Swift Birdman Joe",10,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN012,81896370 
"Swift Samurai Storm!",5,"Common",M,Unlimited,"Strike of Neos",STON-EN058,71934924 
"Swiftstrike Armor",4,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN073,84613836 
"Swing of Memories",9,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN046,96765646 
"Sword Hunter",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-077,51345461 
"Sword of Deep-Seated",1,"Common",M,1st Edition,"Metal Raiders",MRD-132,98495314 
"Sword of Kusanagi",8,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN054,48716139 
"Sword of the Soul-Eater",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-086,5371656 
"Swords of Concealing Light",3,"Rare",M,Unlimited,"Flaming Eternity",FET-EN042,12923641 
"Swordsman of Landstar",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-002,3573512 
"Symbol of Heritage",5,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN043,45305419 
"Symbols of Duty",2,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN060,78794994 
"Synchro Deflector",7,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN068,24545464 
"Synchro Strike",6,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN066,30123142 
"Synthesis Spell",4,"Common",M,1st Edition,"Strike of Neos",STON-EN043,72446038 
"Synthetic Seraphim",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN059,16946849 
"System Down",8,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN041,18895832 
"T.A.D.P.O.L.E.",20,"Common",M,1st Edition,"Cybernetic Revolution",CRV-EN027,10456559 
"Tactical Espionage Expert",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN023,89698120 
"Tailor of the Fickle",2,"Common",M,Unlimited,"Magic Ruler",MRL-042,43641473 
"Tainted Wisdom",1,"Common",M,Unlimited,"Metal Raiders",MRD-081,28725004 
"Talisman of Spell Sealing",8,"Rare",M,1st Edition,"Ancient Sanctuary",AST-049,71983925 
"Talisman of Trap Sealing",1,"Rare",M,Unlimited,"Ancient Sanctuary",AST-044,19312169 
"Taunt",13,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN049,90740329 
"Telekinetic Shocker",6,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN022,84847656 
"Telepathic Power",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN072,23323812 
"Teleport",5,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN055,6795211 
"Tenkabito Shien",6,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN017,41589166 
"Terra the Terrible",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-080,63308047 
"Terraforming",2,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN036,73628505 
"Terrible Deal",7,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN050,69724380 
"Terrorking Salmon",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-060,78060096 
"Test Ape",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN025,3030892 
"The 13th Grave",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-014,32864 
"The A. Forces",4,"Rare",M,Unlimited,"Legacy of Darkness",LOD-027,403847 
"The Agent of Creation - Venus",2,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN120,64734921 
"The Agent of Force - Mars",1,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN121,91123920 
"The All-Seeing White Tiger",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-093,32269855 
"The Big March of Animals",5,"Common",M,Unlimited,"Flaming Eternity",FET-EN048,1689516 
"The Bistro Butcher",5,"Common",M,Unlimited,"Metal Raiders",MRD-108,71107816 
"The Calculator",5,"Common",M,1st Edition,"Phantom Darkness",PTDN-EN036,51196174 
"The Cheerful Coffin",4,"Common",M,Unlimited,"Metal Raiders",MRD-059,41142615 
